user_id,investment_universe,ai_derived_expertise,is_active,created_at,updated_at,survey_answers,capital,risk_tolerance
8bf877f1-86fa-4fa2-9e93-0125ef11595f,"[""Finance"",""AI & Robotics""]",advanced,true,2026-05-15 18:00:07.866747+00,2026-05-15 18:00:07.866747+00,"{""demo_age"":""35_44"",""demo_gender"":""other"",""demo_income"":""tier_3"",""q_game_show"":""2"",""q_inflation"":""3"",""q_word_risk"":""4"",""demo_marital"":""partner"",""demo_education"":""college_trade"",""q_bond_rotation"":""3"",""q_vacation_loss"":""1"",""q_financial_math"":""2"",""q_geologist_mine"":""3"",""q_diversification"":""3"",""q_friend_describe"":""2"",""q_worst_best_case"":""3"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""3"",""q_investment_participation"":""5""}",1000,Moderate
8ccf4bf2-4e53-42dd-91cc-73e47aaa75fe,"[""Technology & AI"",""Consumer Discretionary""]",novice,true,2026-05-14 16:32:46.353743+00,2026-05-14 16:32:46.353743+00,"{""demo_age"":""65_74"",""demo_gender"":""male"",""demo_income"":""tier_2"",""q_game_show"":""2"",""q_inflation"":""3"",""q_word_risk"":""2"",""demo_marital"":""married"",""demo_education"":""bachelors"",""q_bond_rotation"":""3"",""q_vacation_loss"":""3"",""q_financial_math"":""3"",""q_geologist_mine"":""4"",""q_diversification"":""1"",""q_friend_describe"":""1"",""q_worst_best_case"":""2"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""2"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",1000000,Moderate
c267c4ed-0404-4864-8b04-af860c11dbdd,"[""Green Energy"",""Finance""]",novice,true,2026-05-16 13:03:10.446806+00,2026-05-16 13:03:10.446806+00,"{""demo_age"":""under_25"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""1"",""q_word_risk"":""1"",""demo_marital"":""single"",""demo_education"":""high_school"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""4"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",10000,Moderate
c2a270bc-d7f4-4f74-867b-361cda98220d,"[""Technology & AI"",""Digital Assets""]",novice,true,2026-05-14 09:08:57.665961+00,2026-05-14 09:08:57.665961+00,"{""sliders"":{""q_control"":20,""q_time_horizon"":88,""q_risk_vs_reward"":81,""q_financial_literacy"":17},""scenarios"":{""q_windfall"":""safe_yield"",""q_hype_trend"":""momentum"",""q_market_crash"":""panic_sell"",""q_ai_relationship"":""mentor""},""explicit_risk"":""Conservative""}",10000,Conservative
c5137890-f581-408a-ae7e-b1c816e6dcdc,"[""Green Energy"",""Finance""]",novice,true,2026-05-16 07:05:25.814646+00,2026-05-16 07:05:25.814646+00,"{""demo_age"":""under_25"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""1"",""q_word_risk"":""1"",""demo_marital"":""single"",""demo_education"":""high_school"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""4"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",1000,Moderate
d1baa962-b433-43a8-a6ba-4d3255b36a9b,"[""Technology & AI"",""Healthcare & Biotech"",""Financials & Fintech""]",novice,true,2026-05-12 17:33:34.888625+00,2026-05-12 17:33:34.888625+00,"{""sliders"":{""q_control"":17,""q_time_horizon"":59,""q_risk_vs_reward"":81,""q_financial_literacy"":32},""scenarios"":{""q_windfall"":""index_fund"",""q_hype_trend"":""contrarian"",""q_market_crash"":""panic_sell"",""q_ai_relationship"":""bottom_line""},""explicit_risk"":""Conservative""}",10000,Conservative
d446c925-6e48-4153-b3f5-78d5ef9ac9f1,"[""Technology"",""Green Energy""]",novice,true,2026-05-16 22:20:55.293355+00,2026-05-16 22:20:55.293355+00,"{""demo_age"":""35_44"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""2"",""q_word_risk"":""1"",""demo_marital"":""single"",""demo_education"":""graduate"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""3"",""q_friend_describe"":""4"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",10000,Moderate
d74923f3-f45b-4a21-b73f-722356e8ec10,"[""Digital Assets""]",intermediate,true,2026-05-14 16:07:37.572885+00,2026-05-14 16:07:37.572885+00,"{""demo_age"":""35_44"",""demo_gender"":""male"",""demo_income"":""tier_4"",""q_game_show"":""2"",""q_inflation"":""2"",""q_word_risk"":""1"",""demo_marital"":""married"",""demo_education"":""graduate"",""q_bond_rotation"":""4"",""q_vacation_loss"":""2"",""q_financial_math"":""2"",""q_geologist_mine"":""1"",""q_diversification"":""3"",""q_friend_describe"":""2"",""q_worst_best_case"":""3"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""3"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""3"",""q_investment_participation"":""7""}",1000000,Moderate
d7593d52-b416-42ea-95c8-8d183aade83c,"[""Healthcare""]",advanced,true,2026-05-09 18:54:06.991612+00,2026-05-15 10:09:44.321+00,"{""sliders"":{""q_control"":28,""q_time_horizon"":66,""q_risk_vs_reward"":81,""q_financial_literacy"":34},""scenarios"":{""q_windfall"":""safe_yield"",""q_hype_trend"":""fundamentals"",""q_market_crash"":""panic_sell"",""q_ai_relationship"":""quant""},""explicit_risk"":""Moderate""}",50000,moderate
e4f4017e-9e4c-4555-86b9-efdbe7012d1f,"[""Technology & AI""]",novice,true,2026-05-14 08:39:28.068547+00,2026-05-14 08:39:28.068547+00,"{""demo_age"":""75_over"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""3"",""q_word_risk"":""1"",""demo_marital"":""married"",""demo_education"":""high_school"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""1"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""1""}",250000,Capital Preservation Portfolio
